date,source,visit,goal_completed,bounce
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,1,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,1,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,1,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,1,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,1,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,1,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,1,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,1,0
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,1
2024-06-01,Instagram,1,0,0
2024-06-01,Instagram,1,0,0
